Owl_ID,Stations_ID,Owl_Species_ID,Owl_Number,Minute_1,Minute_2,Minute_6-12,Owl_Distance,Owl_Direction,Owl_Comments
1140,903,Mottd,3,FALSE,FALSE,TRUE,500,SE,Min. 7
1141,903,Mottd,4,FALSE,FALSE,TRUE,600,S,Min. 8
1142,239,None,1,FALSE,FALSE,FALSE,0,,
1143,240,None,1,FALSE,FALSE,FALSE,0,,
1144,352,None,1,FALSE,FALSE,FALSE,0,,No owls vocalizing at survey points.
1145,362,None,1,FALSE,FALSE,FALSE,0,,No owls heard at survey points on transect.
1146,512,None,1,FALSE,FALSE,FALSE,0,,No owls vocalized at survey points
1148,117,NoID,3,FALSE,TRUE,FALSE,0,W,Single hoot long ways off
1149,109,Mottd,1,FALSE,FALSE,TRUE,250,SW,Min. 11-12; started w/ normal vocalization
1150,162,Mottd,1,FALSE,TRUE,TRUE,400,N,Min 6 plus; other side of the river
1151,162,Mottd,2,FALSE,FALSE,TRUE,300,S,Min 8 plus;
1152,163,Specd,1,TRUE,TRUE,TRUE,200,S,Min 6 plus
1153,163,Mottd,2,TRUE,TRUE,FALSE,300,S,Min 5 plus
1154,163,Mottd,3,FALSE,FALSE,TRUE,450,N,Min 5 plus; Across river
1155,163,Specd,4,FALSE,FALSE,TRUE,200,S,Min 6 plus
1156,164,Mottd,1,FALSE,TRUE,FALSE,200,S,
1157,164,Mottd,2,FALSE,FALSE,TRUE,400,N,Min 5; Across river
1158,164,Specd,3,FALSE,FALSE,TRUE,150,E,Min 6 plus; this opposite direction from pt. 7 toward pt.9
1159,164,Specd,4,FALSE,FALSE,TRUE,250,S,Min 6 plus; one from point 7
1160,165,Specd,1,TRUE,TRUE,TRUE,150,E,Min 5 plus
1161,165,Specd,2,TRUE,TRUE,TRUE,150,S,Min 10 & 12
1162,165,Mottd,3,FALSE,FALSE,TRUE,400,N,Min 5; across river
1163,166,Specd,1,TRUE,TRUE,TRUE,75,E,Min 3 plus
1164,297,Mottd,1,TRUE,TRUE,FALSE,0,,
1165,297,Mottd,2,FALSE,TRUE,TRUE,0,,Min 7 plus
